"Company_id"|"Company_name"|"Ctry_code"|"ICB-3D"|"NACE2"|"ISIC4"
"1"|"ZUMTOBEL"|"AT"|"2730"|"2740"|"27"
"2"|"ANDRITZ"|"AT"|"2750"|"2895"|"28"
"3"|"AUSTRIAMICROSYSTEMS"|"AT"|"9570"|"2611"|"26"
"4"|"AUSTRIA TECHNOLOGIE & SYSTEMTECHNIK"|"AT"|"2730"|"2612"|"26"
"5"|"VOESTALPINE"|"AT"|"1750"|"2452"|"24-25"
"6"|"KTM"|"AT"|"3350"|"4540"|"45-47"
"7"|"MIBA"|"AT"|"3350"|"2932"|"29-30"
"8"|"RHI"|"AT"|"2750"|"2399"|"22-23"
"9"|"NOVOMATIC"|"AT"|"5750"|"7010"|"69-71"
"10"|"KAPSCH TRAFFICCOM"|"AT"|"2730"|"6190"|"61"
"11"|"BOREALIS"|"AT"|"1350"|"7010"|"69-71"
"12"|"BENTELER INTERNATIONAL"|"AT"|"3350"|"6420"|"64-66"
"13"|"BLUESCOPE STEEL"|"AU"|"1750"|"2410"|"24-25"
"14"|"AMCOR"|"AU"|"2720"|"1729"|"16-18"
"15"|"COCHLEAR"|"AU"|"4530"|"3250"|"31-33"
"16"|"ARISTOCRAT LEISURE"|"AU"|"5750"|"9200"|"90-93"
"17"|"NATIONAL AUSTRALIA BANK"|"AU"|"8350"|"6419"|"64-66"
"18"|"ORICA"|"AU"|"1350"|"2059"|"20"
"19"|"ARRIUM"|"AU"|"1750"|"2420"|"24-25"
"20"|"AUSTRALIA & NEW ZEALAND BANKING"|"AU"|"8350"|"6419"|"64-66"
"21"|"COMPUTERSHARE"|"AU"|"9530"|"5829"|"58-60"
"22"|"TECHNOLOGY ONE"|"AU"|"9530"|"6202"|"62-63"
"23"|"CSL"|"AU"|"4570"|"2120"|"21"
"24"|"TELSTRA"|"AU"|"9570"|"6190"|"61"
"25"|"LINC ENERGY"|"AU"|"5370"|"4778"|"45-47"
"26"|"NUFARM"|"AU"|"1350"|"2015"|"20"
"27"|"COMMONWEALTH BANK OF AUSTRALIA"|"AU"|"8350"|"6419"|"64-66"
"28"|"BELGACOM"|"BE"|"6530"|"6190"|"61"
"29"|"UMICORE"|"BE"|"1750"|"0729"|"05-09"
"30"|"DELHAIZE"|"BE"|"5330"|"4711"|"45-47"
"31"|"UCB"|"BE"|"4570"|"2120"|"21"
"32"|"SOLVAY"|"BE"|"1350"|"2120"|"21"
"33"|"KBC"|"BE"|"8350"|"6420"|"64-66"
"34"|"AGFA-GEVAERT"|"BE"|"2730"|"2670"|"26"
"35"|"BEKAERT"|"BE"|"1750"|"2434"|"24-25"
"36"|"ANHEUSER-BUSCH INBEV"|"BE"|"3530"|"1105"|"10-12"
"37"|"ION BEAM APPLICATIONS"|"BE"|"4530"|"3250"|"31-33"
"38"|"MELEXIS"|"BE"|"9570"|"2611"|"26"
"39"|"DEXIA"|"BE"|"8350"|"6420"|"64-66"
"40"|"BARCO"|"BE"|"2730"|"2630"|"26"
"41"|"YUE YUEN INDUSTRIAL"|"BM"|"3760"|"1520"|"13-15"
"42"|"CHINA YUCHAI"|"BM"|"2750"|"2811"|"28"
"43"|"VTECH"|"BM"|"9570"|"2630"|"26"
"44"|"HAIER ELECTRONICS"|"BM"|"2750"|"6020"|"58-60"
"45"|"DIGITAL CHINA"|"BM"|"9530"|"6209"|"62-63"
"46"|"SKYWORTH DIGITAL"|"BM"|"2730"|"2611"|"26"
"47"|"SIM TECHNOLOGY"|"BM"|"9570"|"2630"|"26"
"48"|"MARVELL TECHNOLOGY"|"BM"|"9570"|"2611"|"26"
"49"|"XYRATEX"|"BM"|"9570"|"2620"|"26"
"50"|"FREESCALE"|"BM"|"9570"|"2611"|"26"
"51"|"CPFL ENERGIA"|"BR"|"7570"|"3511"|"35"
"52"|"PETROLEO BRASILIERO"|"BR"|"0530"|"0610"|"05-09"
"53"|"VALE"|"BR"|"1770"|"0710"|"05-09"
"54"|"BRASKEM"|"BR"|"1350"|"1920"|"19"
"55"|"TOTVS"|"BR"|"9530"|"6201"|"62-63"
"56"|"ITAUTEC"|"BR"|"9570"|"2620"|"26"
"57"|"EMBRAER"|"BR"|"2710"|"3030"|"29-30"
"58"|"WEG"|"BR"|"2750"|"2611"|"26"
"59"|"BOMBARDIER"|"CA"|"2710"|"3099"|"29-30"
"60"|"CAE"|"CA"|"2710"|"5229"|"49-53"
"61"|"VALEANT PHARMACEUTICALS"|"CA"|"4570"|"2120"|"21"
"62"|"CGI"|"CA"|"9570"|"7022"|"69-71"
"63"|"SIERRA WIRELESS"|"CA"|"9570"|"2620"|"26"
"64"|"AASTRA TECHNOLOGIES"|"CA"|"9570"|"2630"|"26"
"65"|"RESEARCH IN MOTION"|"CA"|"9570"|"2630"|"26"
"66"|"WESTPORT INNOVATIONS"|"CA"|"2750"|"2829"|"28"
"67"|"EXFO"|"CA"|"9570"|"2630"|"26"
"68"|"OPEN TEXT"|"CA"|"9530"|"5829"|"58-60"
"69"|"ONCOLYTICS BIOTECH"|"CA"|"4530"|"8690"|"86"
"70"|"CONSTELLATION SOFTWARE"|"CA"|"9530"|"6201"|"62-63"
"71"|"EVERTZ TECHNOLOGIES"|"CA"|"3740"|"2640"|"26"
"72"|"SMART TECHNOLOGIES"|"CA"|"9570"|"2620"|"26"
