TM_appln_id|Nice_class
253809|5
253813|11
253821|9
253822|28
253823|28
253824|28
253825|28
253826|37
253832|1
253833|10
253834|16
253834|45
253838|9
253844|5
253853|3
253854|35
253855|35
253856|38
253856|41
253856|44
253858|5
253871|9
253872|38
253872|41
253872|44
253873|2
253873|9
253875|5
253876|5
253877|5
253885|42
253886|35
253887|3
253888|3
253896|43
253904|35
253905|35
253906|38
253907|9
253909|5
253910|5
253911|5
253915|7
253918|10
253921|35
253924|9
253933|10
253934|10
253939|9
253940|15
253941|15
253944|11
253948|7
253952|35
253952|42
253954|9
253955|9
253956|9
253957|15
253970|35
253973|41
253974|9
253987|9
253988|9
253989|38
253990|38
253991|9
253993|5
253994|11
253995|11
253996|11
253997|11
254003|3
254004|25
254006|35
254007|9
254008|18
254011|14
254013|1
254013|4
254014|1
254014|4
254017|42
254018|39
254022|9
254022|28
254024|9
254026|5
254027|8
254033|10
254034|10
254035|10
254039|9
254040|9
254041|9
254043|15
254051|42
254052|42
254054|9
254055|9
254072|9
254073|9
254074|9
254084|10
254089|41
254090|9
254091|9
254099|7
254100|7
254101|7
254106|12
254107|15
254116|10
254123|9
254124|9
254130|11
254136|42
254138|41
254139|9
254140|41
254141|9
254141|15
254141|38
254141|41
254145|43
254149|1
254154|9
254157|9
254159|5
254160|5
254164|40
254169|10
254171|9
254173|15
254174|9
254176|5
254187|3
254189|28
254190|9
254193|15
254196|11
254200|7
254202|10
254203|42
254205|9
254208|9
254209|5
254210|2
254211|2
254220|42
254221|9
254228|5
254256|9
254269|42
254728|44
316342|9
316343|41
316345|9
316358|9
316359|9
316360|9
316364|34
316365|34
316367|1
316373|10
316374|45
316376|9
316380|5
316382|5
316390|42
316392|9
316393|38
316407|13
316409|9
316411|9
316411|41
316427|28
316429|28
316430|28
316445|9
316447|2
316449|5
316457|10
316460|9
316472|42
316473|16
316473|42
316474|32
316476|9
316478|9
316483|5
316487|1
316492|3
316493|19
316494|9
316495|9
316496|44
316497|5
316498|5
316504|10
316506|16
316507|16
316508|19
316509|3
316512|41
316521|10
316525|9
316527|9
316528|9
316529|9
316557|35
316557|42
316557|45
316559|6
316560|9
316561|9
316561|25
316561|38
316561|41
316563|5
316564|37
316566|37
316568|17
316568|40
316571|39
316571|42
316573|3
316574|3
316575|3
316576|41
316578|9
316579|9
316589|10
316594|9
316597|5
316601|1
316603|1
316605|29
316608|42
316609|9
316610|9
316611|9
316612|9
316626|41
316627|9
316628|9
316629|9
316633|40
316637|7
316641|3
316642|3
316643|3
316646|44
316656|7
316657|3
316658|32
316660|3
316662|9
316666|11
316671|7
316672|42
316673|10
316676|32
316678|9
316679|9
316685|30
316686|36
316696|34
316697|34
316698|34
316699|34
316712|22
316713|34
316714|34
316715|34
316716|34
316724|32
316730|34
316731|34
316732|5
316733|5
316746|9
316747|5
316748|5
316749|5
316750|5
316759|9
316760|9
316762|41
316763|41
316765|5
316766|5
253808|10
253814|9
253819|5
253828|6
253830|41
253831|9
253833|5
253837|1
253838|17
253847|9
253848|9
253849|12
253857|10
253859|10
253860|10
253863|25
253864|38
253864|41
253865|38
253865|41
253865|44
253867|15
253878|38
253879|41
253880|38
253880|41
253881|38
253881|41
253881|44
253882|9
253887|1
253888|1
253890|10
253891|10
253892|10
253893|10
253896|35
253896|41
253898|9
253913|9
253926|42
253929|9
253930|9
253931|9
253932|9
253936|40
253945|16
253946|9
253949|12
253950|15
253958|10
253959|29
253960|42
253961|42
253963|9
253964|9
253965|9
253965|38
253979|9
253980|9
253980|41
253981|9
253982|9
253996|9
253997|9
253998|15
253999|9
254013|35
254016|9
254018|37
254021|17
254022|14
254023|1
254029|9
254030|9
254031|9
254031|38
254032|15
254043|42
254046|35
254047|3
254063|9
254066|9
254067|15
254068|15
254077|39
254082|9
254096|9
254097|9
254098|9
254105|11
254108|17
254111|35
254114|9
254116|9
254121|11
254127|3
254128|3
254129|9
254130|9
254133|9
254133|44
254134|44
254135|40
254136|11
254146|25
254146|35
254163|9
254164|9
254164|35
254164|41
254165|41
254167|41
254177|16
254180|41
254181|9
254181|41
254183|9
254187|5
254188|1
254192|42
