Company_id|TM_appln_id|Publn_auth|TM_number|TM_filing_date
379|612045|EM|8917809|2010-03-01
825|630399|EM|10512218|2011-12-20
78|769802|AU|1443063|2011-06-28
1683|435876|US|85163762|2010-10-28
1414|452034|US|85427042|2011-09-20
1453|465166|US|85655832|2012-06-19
315|473432|US|85799384|2012-12-11
1959|616158|EM|9286121|2010-07-30
1673|432820|US|85115436|2010-08-25
1010|447201|US|85344318|2011-06-13
719|454006|US|85458698|2011-10-28
1815|624337|EM|9988304|2011-05-23
298|429625|US|85066454|2010-06-18
1565|458270|US|85529908|2012-01-31
106|458309|US|85530846|2012-02-01
1874|319052|US|77940306|2010-02-19
296|429395|US|85063479|2010-06-15
1660|434734|US|85145537|2010-10-05
1402|437000|US|85180911|2010-11-19
1437|444702|US|85302237|2011-04-22
1532|616674|EM|9329384|2010-08-23
1851|769641|AU|1440562|2011-06-23
1532|774740|AU|1519489|2012-10-11
840|418508|US|79109248|2012-01-04
1412|432099|US|85103560|2010-08-09
884|454956|US|85474488|2011-11-16
558|622478|EM|9827544|2011-03-21
1944|624822|EM|10034155|2011-06-09
259|630528|EM|10519072|2011-12-22
487|773952|AU|1506329|2012-08-03
1425|434461|US|85140891|2010-09-29
427|455473|US|85482580|2011-11-29
1542|463939|US|85631404|2012-05-22
1811|465583|US|85663259|2012-06-27
811|254039|US|76707688|2011-05-20
298|429361|US|85062976|2010-06-15
1654|441908|US|85258233|2011-03-04
1532|455642|US|85485663|2011-12-02
1507|472585|US|85784677|2012-11-20
385|619002|EM|9532706|2010-11-18
1507|630228|EM|10504306|2011-12-19
1509|770614|AU|1454540|2011-08-31
1181|419717|US|79118303|2012-03-13
106|427584|US|85033635|2010-05-08
1151|451890|US|85424773|2011-09-16
556|455541|US|85483923|2011-11-30
1655|618115|EM|9453952|2010-10-18
556|438610|US|85203860|2010-12-22
1532|447700|US|85353140|2011-06-22
1395|450200|US|85394325|2011-08-10
1402|622586|EM|9834235|2011-03-23
233|624843|EM|10036358|2011-06-10
1304|775057|AU|1524026|2012-11-05
1510|427851|US|85037745|2010-05-13
1954|438126|US|85197367|2010-12-14
1259|462506|US|85603739|2012-04-20
703|470137|US|85743370|2012-10-02
556|615318|EM|9209255|2010-06-29
628|620634|EM|9669706|2011-01-19
1341|764429|AU|1365425|2010-06-07
426|769232|AU|1434535|2011-05-26
