filing|tech_field|variable|patents|mean|std_dev|kurtosis|skewness|min|p1|p10|p25|p50|p75|p90|p99|max
1978|1|"bwd_cits"|196|5.096939|2.559205|2.916395|.3040964|0|0|2|3|5|7|9|12|13
1978|2|"bwd_cits"|42|5.166667|3.621862|3.542786|1.104571|0|0|2|3|4|7|11|15|15
1978|3|"bwd_cits"|32|3.8125|3.010064|3.780566|1.213987|0|0|1|2|3|5|8|12|12
1978|4|"bwd_cits"|9|2.111111|3.018462|4.041874|1.536383|0|0|0|0|1|2|9|9|9
1978|5|"bwd_cits"|9|3.333333|1.658312|3.309917|-.5620746|0|0|0|3|4|4|6|6|6
1978|6|"bwd_cits"|19|3.789474|3.473374|3.248628|1.039742|0|0|0|1|2|6|11|12|12
1978|8|"bwd_cits"|108|3.407408|2.565177|5.358689|1.313996|0|0|1|2|3|4|7|13|13
1978|9|"bwd_cits"|156|5.179487|3.153057|4.183589|.8910139|0|0|2|3|5|7|9|16|16
1978|10|"bwd_cits"|96|4.59375|2.523899|3.464981|.6653848|0|0|2|3|4|6|8|12|12
1978|11|"bwd_cits"|12|3.5|2.195036|3.100392|.7272133|0|0|2|2|3|4|7|8|8
1978|12|"bwd_cits"|57|5.385965|2.883168|2.798316|.4568186|1|1|1|3|5|7|10|12|12
1978|13|"bwd_cits"|115|5.721739|3.965969|4.956737|1.274131|0|0|1|3|5|8|10|18|20
1978|14|"bwd_cits"|658|2.960486|3.042813|55.79721|5.331908|0|0|1|1|2|4|6|13|42
1978|15|"bwd_cits"|52|1.788462|1.76387|6.625674|1.559266|0|0|0|.5|1|2.5|4|9|9
1978|16|"bwd_cits"|176|2.477273|2.642411|8.342499|2.035443|0|0|0|1|2|4|6|14|14
1978|17|"bwd_cits"|420|3.383333|2.312818|9.882463|1.820929|0|0|1|2|3|4|6|12|19
1978|18|"bwd_cits"|9|5|1.936492|1.98|0|2|2|2|4|5|6|8|8|8
1978|19|"bwd_cits"|164|3.768293|2.639013|4.820404|1.077844|0|0|1|2|3|5|7|12|15
1978|20|"bwd_cits"|120|5.25|2.750859|4.915292|1.053488|1|1|2|3|5|6|9|15|15
1978|21|"bwd_cits"|49|4.265306|2.651851|2.554293|.4282638|0|0|1|2|4|6|8|10|10
1978|23|"bwd_cits"|121|5.46281|3.509609|4.711456|1.18269|0|0|2|3|5|7|11|18|18
