"Ctry_code"|"Reg_Code"|"Reg_label"|"Up_reg_code"|"Up_reg_label"
"DE"|"DE111"|"Stuttgart, Stadtkreis"|"DE72"|"STUTTGART"
"DE"|"DE112"|"Böblingen"|"DE72"|"STUTTGART"
"DE"|"DE113"|"Esslingen"|"DE72"|"STUTTGART"
"DE"|"DE114"|"Göppingen"|"DE72"|"STUTTGART"
"DE"|"DE115"|"Ludwigsburg"|"DE72"|"STUTTGART"
"DE"|"DE116"|"Rems-Murr-Kreis"|"DE72"|"STUTTGART"
"DE"|"DE117"|"Heilbronn, Stadtkreis"|"DE69"|"FRANKEN"
"DE"|"DE118"|"Heilbronn, Landkreis"|"DE69"|"FRANKEN"
"DE"|"DE119"|"Hohenlohekreis"|"DE69"|"FRANKEN"
"DE"|"DE11A"|"Schwäbisch Hall"|"DE69"|"FRANKEN"
"DE"|"DE11B"|"Main-Tauber-Kreis"|"DE69"|"FRANKEN"
"DE"|"DE11C"|"Heidenheim"|"DE73"|"OSTWÜRTTEMBERG"
"DE"|"DE11D"|"Ostalbkreis"|"DE73"|"OSTWÜRTTEMBERG"
"DE"|"DE121"|"Baden-Baden, Stadtkreis"|"DE70"|"MITTLERER OBERRHEIN"
"DE"|"DE122"|"Karlsruhe, Stadtkreis"|"DE70"|"MITTLERER OBERRHEIN"
"DE"|"DE123"|"Karlsruhe, Landkreis"|"DE70"|"MITTLERER OBERRHEIN"
"DE"|"DE124"|"Rastatt"|"DE70"|"MITTLERER OBERRHEIN"
"DE"|"DE125"|"Heidelberg, Stadtkreis"|"DE68"|"UNTERER NECKAR"
"DE"|"DE126"|"Mannheim, Stadtkreis"|"DE68"|"UNTERER NECKAR"
"DE"|"DE127"|"Neckar-Odenwald-Kreis"|"DE68"|"UNTERER NECKAR"
"DE"|"DE128"|"Rhein-Neckar-Kreis"|"DE68"|"UNTERER NECKAR"
"DE"|"DE129"|"Pforzheim, Stadtkreis"|"DE71"|"NORDSCHWARZWALD"
"DE"|"DE12A"|"Calw"|"DE71"|"NORDSCHWARZWALD"
"DE"|"DE12B"|"Enzkreis"|"DE71"|"NORDSCHWARZWALD"
"DE"|"DE12C"|"Freudenstadt"|"DE71"|"NORDSCHWARZWALD"
"DE"|"DE131"|"Freiburg im Breisgau, Stadtkreis"|"DE77"|"SÜDLICHER OBERRHEIN"
"DE"|"DE132"|"Breisgau-Hochschwarzwald"|"DE77"|"SÜDLICHER OBERRHEIN"
"DE"|"DE133"|"Emmendingen"|"DE77"|"SÜDLICHER OBERRHEIN"
"DE"|"DE134"|"Ortenaukreis"|"DE77"|"SÜDLICHER OBERRHEIN"
"DE"|"DE135"|"Rottweil"|"DE76"|"SCHWARZWALD-BAAR-HEUBERG"
"DE"|"DE136"|"Schwarzwald-Baar-Kreis"|"DE76"|"SCHWARZWALD-BAAR-HEUBERG"
"DE"|"DE137"|"Tuttlingen"|"DE76"|"SCHWARZWALD-BAAR-HEUBERG"
